Student ID,Cohort Name,score
326529,Video Cohort,11
326598,Text Cohort,11
326601,Video Cohort,8
326615,Video Cohort,12
326616,Video Cohort,9
326627,Text Cohort,9
326619,Video Cohort,11
326636,Text Cohort,7
326638,Text Cohort,7
326639,Video Cohort,9
326642,Video Cohort,11
326640,Video Cohort,8
326646,Text Cohort,7
326647,Video Cohort,6
326652,Text Cohort,9
326641,Text Cohort,7
326666,Text Cohort,8
326676,Video Cohort,11
326717,Video Cohort,11
326758,Text Cohort,10
326779,Text Cohort,10
326781,Text Cohort,9
326658,Text Cohort,9
327236,Video Cohort,9
327263,Video Cohort,10
327307,Text Cohort,11
326644,Video Cohort,9
327880,Text Cohort,6
328000,Video Cohort,13
328014,Text Cohort,9
